@relation QueryResult

@attribute Year numeric
@attribute DayOfYear numeric
@attribute Price numeric

@data
2011,3,4.02625
2011,4,3.94
2011,5,4.0494
2011,6,3.94065
2011,7,3.86065
2011,10,3.83315
2011,11,3.79315
2011,12,3.86815
2011,13,3.9069
2011,14,3.8694
2011,17,3.8669
2011,18,3.9669
2011,19,3.99315
2011,20,4.0119
2011,21,4.12375
2011,23,4.12315
2011,24,4.1794
2011,25,4.1944
2011,26,4.2844
2011,27,4.23565
2011,28,4.12315
2011,31,4.19315
2011,32,4.1769
2011,33,4.3144
2011,34,4.2919
2011,35,4.2725
2011,38,4.2944
2011,39,4.3694
2011,40,4.44125
2011,41,4.3069
2011,42,4.33815
2011,45,4.3619
2011,46,4.20125
2011,47,4.1869
2011,48,4.4175
2011,49,4.2819
2011,53,3.9819
2011,54,3.98565
2011,55,3.90565
2011,56,4.06815
2011,59,4.0819
2011,60,4.0544
2011,61,4.0569
2011,62,4.1169
2011,63,4.16315
2011,66,3.9994
2011,67,3.90625
2011,68,3.7969
2011,69,3.6975
2011,70,3.5869
2011,72,3.56565
2011,73,3.61065
2011,74,3.40375
2011,75,3.35815
2011,76,3.5769
2011,77,3.6244
2011,79,3.6944
2011,80,3.59315
2011,81,3.62625
2011,82,3.5675
2011,83,3.7119
2011,84,3.67375
2011,86,3.69815
2011,87,3.61565
2011,88,3.6944
2011,89,3.6344
2011,90,3.79565
2011,91,3.8019
2011,93,3.8325
2011,94,3.9475
2011,95,3.92315
2011,96,3.8925
2011,97,3.8744
2011,98,3.9969
2011,100,4.035
2011,101,4.00065
2011,102,3.78815
2011,103,3.79625
2011,104,3.7275
2011,105,3.7225
2011,107,3.91315
2011,108,4.07565
2011,109,4.1244
2011,110,4.1194
2011,111,4.1694
2011,112,4.17125
2011,114,4.2469
2011,115,4.3094
2011,116,4.2544
2011,117,4.09565
2011,118,3.85
2011,119,4.02065
2011,121,4.005
2011,122,3.97815
2011,123,3.9644
2011,124,3.86125
2011,125,3.7669
2011,126,3.7694
2011,128,3.8675
2011,129,3.9625
2011,130,3.9994
2011,131,3.7975
2011,132,3.6925
2011,133,3.64565
2011,135,3.6944
2011,136,3.68065
2011,137,3.8569
2011,138,4.09375
2011,139,4.04315
2011,140,4.03315
2011,142,4.10065
2011,143,3.98875
2011,144,3.93875
2011,145,4.0144
2011,146,4.0944
2011,147,4.10315
2011,150,3.96375
2011,151,3.93565
2011,152,3.8075
2011,153,3.8625
2011,154,3.8644
2011,156,3.87625
2011,157,3.73
2011,158,3.7069
